"country","code","name","code_2","count_song","year","gender","count_album","count_artist"
"AT","AUS","Australia","AU",21,1986,"Male",2,2
"AT","AUS","Australia","AU",10,1986,"Group",1,5
"AT","AUS","Australia","AU",20,1987,"Male",2,4
"AT","AUS","Australia","AU",22,1988,"Male",2,3
"AT","AUS","Australia","AU",25,1988,"Group",2,4
"AT","AUS","Australia","AU",26,1989,"Male",2,0
"AT","AUS","Australia","AU",9,1989,"Group",1,16
"AT","AUS","Australia","AU",74,1990,"Male",4,1
"AT","AUS","Australia","AU",17,1990,"Group",1,15
"AT","AUS","Australia","AU",112,1991,"Female",5,2
"AT","AUS","Australia","AU",11,1991,"Male",1,1
"AT","AUS","Australia","AU",6,1991,"Group",1,11
"AT","AUS","Australia","AU",45,1992,"Male",3,0
"AT","AUS","Australia","AU",29,1992,"Group",3,11
"AT","AUS","Australia","AU",55,1993,"Group",4,17
"AT","AUS","Australia","AU",10,1994,"Male",1,0
"AT","AUS","Australia","AU",61,1994,"Group",6,20
"AT","AUS","Australia","AU",77,1995,"Male",4,1
"AT","AUS","Australia","AU",66,1995,"Group",5,10
"AT","AUS","Australia","AU",36,1996,"Male",2,0
"AT","AUS","Australia","AU",81,1996,"Group",7,12
"AT","AUS","Australia","AU",19,1997,"Male",1,2
"AT","AUS","Australia","AU",61,1997,"Group",7,19
"AT","AUS","Australia","AU",21,1998,"Male",2,0
"AT","AUS","Australia","AU",95,1998,"Group",10,17
"AT","AUS","Australia","AU",25,1999,"Male",2,1
"AT","AUS","Australia","AU",128,1999,"Group",13,9
"AT","AUS","Australia","AU",12,2000,"Male",1,0
"AT","AUS","Australia","AU",68,2000,"Group",8,10
"AT","AUS","Australia","AU",19,2001,"Male",1,0
"AT","AUS","Australia","AU",96,2001,"Group",8,17
"AT","AUS","Australia","AU",16,2002,"Female",2,0
"AT","AUS","Australia","AU",102,2002,"Group",10,14
"AT","AUS","Australia","AU",23,2003,"Female",2,0
"AT","AUS","Australia","AU",14,2003,"Male",1,0
"AT","AUS","Australia","AU",60,2003,"Group",5,17
"AT","AUS","Australia","AU",17,2004,"Female",1,0
"AT","AUS","Australia","AU",13,2004,"Male",1,0
"AT","AUS","Australia","AU",170,2004,"Group",17,18
"AT","AUS","Australia","AU",11,2005,"Female",1,0
"AT","AUS","Australia","AU",13,2005,"Male",1,0
"AT","AUS","Australia","AU",137,2005,"Group",12,17
"AT","AUS","Australia","AU",13,2006,"Male",1,0
"AT","AUS","Australia","AU",196,2006,"Group",13,15
"AT","AUS","Australia","AU",82,2007,"Male",4,0
"AT","AUS","Australia","AU",163,2007,"Group",13,13
"AT","AUS","Australia","AU",13,2008,"Female",1,0
"AT","AUS","Australia","AU",88,2008,"Male",2,0
"AT","AUS","Australia","AU",158,2008,"Group",15,13
"AT","AUS","Australia","AU",33,2009,"Male",2,0
"AT","AUS","Australia","AU",136,2009,"Group",11,7
"AT","AUS","Australia","AU",82,2010,"Group",8,11
"AT","AUS","Australia","AU",84,2011,"Group",7,3
"AT","AUS","Australia","AU",27,2012,"Male",1,0
"AT","AUS","Australia","AU",24,2012,"Group",2,3
"AT","AUS","Australia","AU",94,2013,"Group",4,1
"AT","AUS","Australia","AU",13,2014,"Group",1,1
"AT","AUS","Australia","AU",13,2015,"Female",1,0
"AT","AUS","Australia","AU",22,2015,"Group",1,0
"AU","AUT","Austria","AT",36,1965,"Group",2,0
"AU","AUT","Austria","AT",61,1966,"Group",3,0
"AU","AUT","Austria","AT",24,1967,"Group",2,0
"AU","AUT","Austria","AT",12,1968,"Male",1,0
"AU","AUT","Austria","AT",20,1968,"Group",1,0
"AU","AUT","Austria","AT",8,1971,"Group",1,0
"AU","AUT","Austria","AT",22,1973,"Female",1,0
"AU","AUT","Austria","AT",21,1973,"Male",2,0
"AU","AUT","Austria","AT",9,1973,"Group",1,2
"AU","AUT","Austria","AT",8,1974,"Female",1,0
"AU","AUT","Austria","AT",11,1974,"Group",1,0
"AU","AUT","Austria","AT",21,1975,"Group",2,1
"AU","AUT","Austria","AT",44,1976,"Group",4,0
"AU","AUT","Austria","AT",30,1977,"Group",3,1
"AU","AUT","Austria","AT",28,1978,"Group",3,1
"AU","AUT","Austria","AT",95,1979,"Group",7,0
"AU","AUT","Austria","AT",10,1980,"Male",1,0
"AU","AUT","Austria","AT",58,1980,"Group",5,0
"AU","AUT","Austria","AT",41,1981,"Group",4,0
"AU","AUT","Austria","AT",10,1982,"Male",1,0
"AU","AUT","Austria","AT",39,1982,"Group",4,1
"AU","AUT","Austria","AT",43,1983,"Group",4,0
"AU","AUT","Austria","AT",34,1984,"Group",3,1
"AU","AUT","Austria","AT",23,1985,"Group",2,0
"AU","AUT","Austria","AT",20,1986,"Male",2,0
"AU","AUT","Austria","AT",59,1986,"Group",6,1
"AU","AUT","Austria","AT",59,1987,"Group",4,1
"AU","AUT","Austria","AT",38,1988,"Male",3,2
"AU","AUT","Austria","AT",88,1988,"Group",6,1
"AU","AUT","Austria","AT",11,1989,"Male",1,0
"AU","AUT","Austria","AT",112,1989,"Group",8,0
"AU","AUT","Austria","AT",11,1990,"Female",1,3
"AU","AUT","Austria","AT",44,1990,"Male",3,0
"AU","AUT","Austria","AT",151,1990,"Group",11,2
"AU","AUT","Austria","AT",12,1991,"Female",1,0
"AU","AUT","Austria","AT",55,1991,"Male",4,0
"AU","AUT","Austria","AT",151,1991,"Group",11,5
"AU","AUT","Austria","AT",10,1992,"Female",1,0
"AU","AUT","Austria","AT",28,1992,"Male",2,0
"AU","AUT","Austria","AT",125,1992,"Group",11,4
"AU","AUT","Austria","AT",21,1993,"Male",2,0
"AU","AUT","Austria","AT",53,1993,"Group",5,6
"AU","AUT","Austria","AT",11,1994,"Female",1,1
"AU","AUT","Austria","AT",12,1994,"Male",1,0
"AU","AUT","Austria","AT",204,1994,"Group",13,7
"AU","AUT","Austria","AT",13,1995,"Female",1,0
"AU","AUT","Austria","AT",31,1995,"Male",2,0
"AU","AUT","Austria","AT",191,1995,"Group",18,6
"AU","AUT","Austria","AT",48,1996,"Female",4,0
"AU","AUT","Austria","AT",23,1996,"Male",2,1
"AU","AUT","Austria","AT",174,1996,"Group",12,8
"AU","AUT","Austria","AT",47,1997,"Female",3,0
"AU","AUT","Austria","AT",35,1997,"Male",2,0
"AU","AUT","Austria","AT",154,1997,"Group",13,2
"AU","AUT","Austria","AT",26,1998,"Female",2,0
"AU","AUT","Austria","AT",39,1998,"Male",4,0
"AU","AUT","Austria","AT",293,1998,"Group",20,7
"AU","AUT","Austria","AT",57,1999,"Female",4,0
"AU","AUT","Austria","AT",45,1999,"Male",4,0
"AU","AUT","Austria","AT",144,1999,"Group",12,4
"AU","AUT","Austria","AT",25,2000,"Female",2,0
"AU","AUT","Austria","AT",38,2000,"Male",3,0
"AU","AUT","Austria","AT",389,2000,"Group",28,6
"AU","AUT","Austria","AT",50,2001,"Female",5,0
"AU","AUT","Austria","AT",12,2001,"Male",1,0
"AU","AUT","Austria","AT",251,2001,"Group",21,1
"AU","AUT","Austria","AT",61,2002,"Female",4,0
"AU","AUT","Austria","AT",85,2002,"Male",6,0
"AU","AUT","Austria","AT",298,2002,"Group",23,8
"AU","AUT","Austria","AT",59,2003,"Female",4,0
"AU","AUT","Austria","AT",143,2003,"Male",9,0
"AU","AUT","Austria","AT",260,2003,"Group",22,4
"AU","AUT","Austria","AT",108,2004,"Female",7,0
"AU","AUT","Austria","AT",93,2004,"Male",8,0
"AU","AUT","Austria","AT",559,2004,"Group",45,3
"AU","AUT","Austria","AT",23,2005,"Female",2,0
"AU","AUT","Austria","AT",112,2005,"Male",9,0
"AU","AUT","Austria","AT",331,2005,"Group",33,6
"AU","AUT","Austria","AT",68,2006,"Female",6,0
"AU","AUT","Austria","AT",152,2006,"Male",9,0
"AU","AUT","Austria","AT",420,2006,"Group",35,0
"AU","AUT","Austria","AT",94,2007,"Female",7,0
"AU","AUT","Austria","AT",52,2007,"Male",4,0
"AU","AUT","Austria","AT",482,2007,"Group",39,4
"AU","AUT","Austria","AT",61,2008,"Female",5,0
"AU","AUT","Austria","AT",107,2008,"Male",8,0
"AU","AUT","Austria","AT",497,2008,"Group",42,1
"AU","AUT","Austria","AT",55,2009,"Female",4,0
"AU","AUT","Austria","AT",51,2009,"Male",4,0
"AU","AUT","Austria","AT",247,2009,"Group",26,1
"AU","AUT","Austria","AT",15,2010,"Female",1,0
"AU","AUT","Austria","AT",55,2010,"Male",3,0
"AU","AUT","Austria","AT",317,2010,"Group",29,2
"AU","AUT","Austria","AT",46,2011,"Female",3,0
"AU","AUT","Austria","AT",31,2011,"Male",3,0
"AU","AUT","Austria","AT",143,2011,"Group",14,2
"AU","AUT","Austria","AT",46,2012,"Female",3,0
"AU","AUT","Austria","AT",27,2012,"Male",2,0
"AU","AUT","Austria","AT",93,2012,"Group",9,0
"AU","AUT","Austria","AT",12,2013,"Female",1,0
"AU","AUT","Austria","AT",21,2013,"Male",2,0
"AU","AUT","Austria","AT",60,2013,"Group",5,1
"AU","AUT","Austria","AT",35,2014,"Female",3,0
"AU","AUT","Austria","AT",14,2014,"Group",1,0
"AU","AUT","Austria","AT",15,2015,"Male",1,0
"AU","AUT","Austria","AT",13,2015,"Group",1,0
"BA","BHR","Bahrain","BH",10,1995,"Male",1,0
"BA","BHR","Bahrain","BH",11,2004,"Group",1,0
"BA","BHR","Bahrain","BH",10,2006,"Group",1,0
"BE","BEL","Belgium","BE",12,1969,"Male",1,2
"BE","BEL","Belgium","BE",13,1978,"Male",1,0
